Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2022,March,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"7,041",106.2
2022,March,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,"14,577",219.8
2022,March,B Property and deception offences,B40 Theft,B46 Fare evasion,23,0.3
2022,March,B Property and deception offences,B40 Theft,B49 Other theft,"37,396",564.0
2022,March,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,"2,809",42.4
2022,March,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument,11,0.2
2022,March,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,"23,226",350.3
2022,March,B Property and deception offences,B50 Deception,B54 State false information,712,10.7
2022,March,B Property and deception offences,B50 Deception,B55 Deceptive business practices,13,0.2
2022,March,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,127,1.9
2022,March,B Property and deception offences,B50 Deception,B59 Other deception offences,"1,215",18.3
2022,March,B Property and deception offences,B60 Bribery,B61 Bribery of officials,6,0.1
2022,March,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,63,1.0
2022,March,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,"3,771",56.9
2022,March,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,"1,032",15.6
2022,March,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,794,12.0
2022,March,C Drug offences,C30 Drug use and possession,C31 Drug use,278,4.2
2022,March,C Drug offences,C30 Drug use and possession,C32 Drug possession,"23,747",358.1
2022,March,C Drug offences,C90 Other drug offences,C99 Other drug offences,183,2.8
2022,March,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,"5,482",82.7
2022,March,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,"9,142",137.9
2022,March,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,289,4.4
2022,March,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,"2,098",31.6
